GITTER_ID_1km;x_mp_1km;y_mp_1km;Einwohner
CRS3035RES1000mN2716000E4309000;4309500;2716500;60
CRS3035RES1000mN2716000E4310000;4310500;2716500;7
CRS3035RES1000mN2716000E4311000;4311500;2716500;38
CRS3035RES1000mN2716000E4312000;4312500;2716500;29
CRS3035RES1000mN2716000E4313000;4313500;2716500;38
CRS3035RES1000mN2716000E4314000;4314500;2716500;178
CRS3035RES1000mN2716000E4315000;4315500;2716500;59
CRS3035RES1000mN2716000E4316000;4316500;2716500;573
CRS3035RES1000mN2716000E4317000;4317500;2716500;340
CRS3035RES1000mN2716000E4318000;4318500;2716500;11
CRS3035RES1000mN2716000E4319000;4319500;2716500;27
CRS3035RES1000mN2716000E4320000;4320500;2716500;57
CRS3035RES1000mN2716000E4321000;4321500;2716500;67
CRS3035RES1000mN2716000E4322000;4322500;2716500;1276
CRS3035RES1000mN2716000E4323000;4323500;2716500;444
CRS3035RES1000mN2716000E4324000;4324500;2716500;48
CRS3035RES1000mN2716000E4325000;4325500;2716500;5
CRS3035RES1000mN2716000E4326000;4326500;2716500;10
CRS3035RES1000mN2716000E4327000;4327500;2716500;171
CRS3035RES1000mN2716000E4328000;4328500;2716500;363
CRS3035RES1000mN2716000E4329000;4329500;2716500;22
CRS3035RES1000mN2716000E4330000;4330500;2716500;53
CRS3035RES1000mN2716000E4331000;4331500;2716500;53
CRS3035RES1000mN2716000E4332000;4332500;2716500;8
CRS3035RES1000mN2716000E4333000;4333500;2716500;6
CRS3035RES1000mN2716000E4334000;4334500;2716500;56
CRS3035RES1000mN2716000E4335000;4335500;2716500;103
CRS3035RES1000mN2716000E4336000;4336500;2716500;1277
CRS3035RES1000mN2716000E4337000;4337500;2716500;2886
CRS3035RES1000mN2716000E4338000;4338500;2716500;961
CRS3035RES1000mN2716000E4339000;4339500;2716500;552
CRS3035RES1000mN2716000E4341000;4341500;2716500;16
CRS3035RES1000mN2716000E4342000;4342500;2716500;17
CRS3035RES1000mN2716000E4343000;4343500;2716500;169
CRS3035RES1000mN2716000E4353000;4353500;2716500;5
CRS3035RES1000mN2716000E4360000;4360500;2716500;8
CRS3035RES1000mN2716000E4361000;4361500;2716500;5
CRS3035RES1000mN2716000E4364000;4364500;2716500;3
CRS3035RES1000mN2716000E4365000;4365500;2716500;6
CRS3035RES1000mN2716000E4369000;4369500;2716500;7
CRS3035RES1000mN2716000E4372000;4372500;2716500;32
CRS3035RES1000mN2716000E4373000;4373500;2716500;276
CRS3035RES1000mN2716000E4375000;4375500;2716500;28
CRS3035RES1000mN2716000E4376000;4376500;2716500;162
CRS3035RES1000mN2716000E4377000;4377500;2716500;166
CRS3035RES1000mN2716000E4405000;4405500;2716500;189
CRS3035RES1000mN2716000E4406000;4406500;2716500;946
CRS3035RES1000mN2716000E4429000;4429500;2716500;7
CRS3035RES1000mN2717000E4144000;4144500;2717500;73
CRS3035RES1000mN2717000E4145000;4145500;2717500;85
CRS3035RES1000mN2717000E4146000;4146500;2717500;2118
CRS3035RES1000mN2717000E4147000;4147500;2717500;3228
CRS3035RES1000mN2717000E4148000;4148500;2717500;746
CRS3035RES1000mN2717000E4150000;4150500;2717500;1113
CRS3035RES1000mN2717000E4151000;4151500;2717500;197
CRS3035RES1000mN2717000E4152000;4152500;2717500;289
CRS3035RES1000mN2717000E4153000;4153500;2717500;44
CRS3035RES1000mN2717000E4164000;4164500;2717500;98
CRS3035RES1000mN2717000E4165000;4165500;2717500;3439
CRS3035RES1000mN2717000E4166000;4166500;2717500;3813
CRS3035RES1000mN2717000E4170000;4170500;2717500;37
CRS3035RES1000mN2717000E4171000;4171500;2717500;937
CRS3035RES1000mN2717000E4172000;4172500;2717500;1516
CRS3035RES1000mN2717000E4173000;4173500;2717500;264
